,Professor,Audio File Name,Transcripts File Name,file size ,Audio_file_length
122,Prof._Mani_Mehra,"['Introduction_to_Second_Order_Linear_Differential_Equations.mp3', 'Introduction_to_First_Order_Differential_Equations2.mp3', 'Introduction_to_First_Order_Differential_Equations.mp3']","['Introduction_to_Second_Order_Linear_Differential_Equations.txt', 'Introduction_to_First_Order_Differential_Equations2.txt', 'Introduction_to_First_Order_Differential_Equations.txt']",3,"[3341.818775510204, 3164.1861224489794, 3393.5412244897957]"
123,Prof._Dr._G.P._Raja_Sekhar,"['Mod-04_Lec-04_Runge-Kutta_Methods_for_IVPs.mp3', 'Mod-03_Lec-03_Analysis_of_Single_Step_Methods.mp3', 'Mod-02_Lec-02_Single-Step_Methods_for_IVPs.mp3']","['Mod-04_Lec-04_Runge-Kutta_Methods_for_IVPs.txt', 'Mod-02_Lec-02_Single-Step_Methods_for_IVPs.txt', 'Mod-03_Lec-03_Analysis_of_Single_Step_Methods.txt']",3,"[3318.909387755102, 3300.911020408163, 3251.4089795918367]"
124,Prof._Joydeep_Dutta,"['Examples_of_Irrational_numbers.mp3', 'Limits_of_Functions-I.mp3', 'Functions.mp3', 'Countability_and_Uncountability.mp3']","['Examples_of_Irrational_numbers.txt', 'Countability_and_Uncountability.txt', 'Limits_of_Functions-I.txt', 'Functions.txt']",4,"[1957.6424489795918, 2607.281632653061, 2001.3975510204082, 2254.471836734694]"
125,Prof.I.Sengupta,"['Lecture-2_Review_Of_Network_Technologies.mp3', 'Lecture-3_TCPIP-Part-1.mp3', 'Lecture-4_TCPIP-Part-II.mp3']","['Lecture-2_Review_Of_Network_Technologies.txt', 'Lecture-3_TCPIP-Part-1.txt', 'Lecture-4_TCPIP-Part-II.txt']",3,"[3545.991836734694, 3548.1077551020408, 3536.692244897959]"
126,Prof._Wasim_Ahmad,"['noc21-hs51-lec04.mp3', 'noc21-hs51-lec03.mp3', 'noc21-hs51-lec05.mp3', 'noc21-hs51-lec01.mp3', 'noc21-hs51-lec02.mp3']","['noc21-hs51-lec01.txt', 'noc21-hs51-lec04.txt', 'noc21-hs51-lec03.txt', 'noc21-hs51-lec02.txt', 'noc21-hs51-lec05.txt']",5,"[1497.2865306122449, 1586.3118367346938, 1519.4383673469388, 1495.7191836734694, 1530.4620408163266]"
127,Dr._Susmita_Mukhopadhyay,"['mod01lec02.mp3', 'mod01lec04.mp3', 'mod01lec03.mp3', 'mod01lec01.mp3']","['mod01lec02.txt', 'mod01lec04.txt', 'mod01lec01.txt', 'mod01lec03.txt']",4,"[2259.2261224489794, 1958.6089795918367, 1575.810612244898, 2308.1795918367347]"
128,Prof._Amit_Jain,"['Diodes_Introduction_to_The_Transistor.mp3', 'MOS_Device_Characteristics.mp3', 'Introduction_to_Analog_Circuits_Introduction_to_the_Diode.mp3']","['Introduction_to_Analog_Circuits_Introduction_to_the_Diode.txt', 'Diodes_Introduction_to_The_Transistor.txt', 'MOS_Device_Characteristics.txt']",3,"[3180.2514285714287, 3418.749387755102, 3368.071836734694]"
129,Dr._Smiti_Jha,"['Lecture_03.mp3', 'Lecture_05.mp3', 'Lecture_04.mp3', 'Lecture_02.mp3']","['Lecture_04.txt', 'Lecture_02.txt', 'Lecture_03.txt', 'Lecture_05.txt']",4,"[1821.9624489795917, 1934.7591836734694, 1827.84, 2043.5591836734693]"
130,Prof._S.K._Maiti,"['Lecture-2_Advanced_Strength_of_Materials.mp3', 'Lecture-4_Advanced_Strength_of_Materials.mp3', 'Lecture-3_Advanced_Strength_of_Materials.mp3']","['Lecture-2_Advanced_Strength_of_Materials.txt', 'Lecture-4_Advanced_Strength_of_Materials.txt', 'Lecture-3_Advanced_Strength_of_Materials.txt']",3,"[3289.338775510204, 3233.4367346938775, 3116.721632653061]"
131,Prof._D.K._Ghosh,"['Mod-01_Lec-02_Line_and_Surface_Integrals.mp3', 'Mod-01_Lec-04_Conservative_Field_Stokes_Theorem.mp3', 'Mod-01_Lec-03_Divergence_and_Curl_of_Vector_Fields.mp3']","['Mod-01_Lec-04_Conservative_Field_Stokes_Theorem.txt', 'Mod-01_Lec-02_Line_and_Surface_Integrals.txt', 'Mod-01_Lec-03_Divergence_and_Curl_of_Vector_Fields.txt']",3,"[3087.5167346938774, 2980.7020408163266, 3011.761632653061]"
132,Dr._S._Vaidhyasubramaniam,"['Mod-01_Lec-02_Introduction_to_Accounting.mp3', 'Mod-01_Lec-03_Accounting_Principles-1.mp3', 'Mod-01_Lec-04_Balance_Sheet_Fundamentals.mp3']","['Mod-01_Lec-02_Introduction_to_Accounting.txt', 'Mod-01_Lec-03_Accounting_Principles-1.txt', 'Mod-01_Lec-04_Balance_Sheet_Fundamentals.txt']",3,"[2936.1110204081633, 2614.2302040816326, 2979.448163265306]"
133,Prof._Swarup_bag,"['Lec_2_Fusion_welding-1.mp3', 'Lec_1_Properties_Modelling_approaches_Process_modelling_and_Optimization.mp3']","['Lec_2_Fusion_welding-1.txt', 'Lec_1_Properties_Modelling_approaches_Process_modelling_and_Optimization.txt']",2,"[3591.549387755102, 3724.3297959183674]"
134,Prof._Phalguni_Gupta,"['Mod-01_Lec-03_Parallel_Algorithm.mp3', 'Mod-01_Lec-02_Parallel_Algorithm.mp3']","['Mod-01_Lec-02_Parallel_Algorithm.txt', 'Mod-01_Lec-03_Parallel_Algorithm.txt']",2,"[4127.7387755102045, 3757.296326530612]"
135,Prof._S.D._Agashe,"['Lec-2_Some_More_Examples.mp3', 'Lec-3_Different_kinds_of_Control_Systems.mp3']","['Lec-3_Different_kinds_of_Control_Systems.txt', 'Lec-2_Some_More_Examples.txt']",2,"[4088.711836734694, 3865.6]"
136,Prof._S._Lakshmi_Bala,"['Mod-01_Lec-03_Linear_Vector_Spaces-II_The_two-level_atom.mp3', 'Mod-01_Lec-02_Linear_Vector_Spaces-I.mp3', 'Mod-01_Lec-04_Linear_Vector_Spaces-III_The_three-level_atom.mp3']","['Mod-01_Lec-03_Linear_Vector_Spaces-II_The_two-level_atom.txt', 'Mod-01_Lec-04_Linear_Vector_Spaces-III_The_three-level_atom.txt', 'Mod-01_Lec-02_Linear_Vector_Spaces-I.txt']",3,"[2800.3004081632653, 3804.499591836735, 2975.2685714285712]"
137,Dr._B.V.S._Viswanadham,"['Mod-01_Lec-04_Clay_Mineralogy_and_Soil-air-water_interaction.mp3', 'Mod-01_Lec-02_Three_Phase_soil_systemVolumetric_ratios_and_Basic_relationships.mp3', 'Mod-01_Lec-03_Particle_sizesshapes_and_arrangement.mp3']","['Mod-01_Lec-04_Clay_Mineralogy_and_Soil-air-water_interaction.txt', 'Mod-01_Lec-02_Three_Phase_soil_systemVolumetric_ratios_and_Basic_relationships.txt', 'Mod-01_Lec-03_Particle_sizesshapes_and_arrangement.txt']",3,"[3169.0187755102043, 3222.831020408163, 3604.6367346938778]"
138,Dr._M.P._Gururajan,"['Week_1_Lecture_6_Random_variable_and_Expectation_III.mp3', 'Week_1_Lecture_3_Probability_and_Distribution.mp3', 'Week_1_Lecture_1_Descriptive_Statistics-I.mp3', 'Week_1_Lecture_2_Descriptive_Statistics-II.mp3', 'Week_1_Lecture_5_Random_variable_and_Expectation_II.mp3', 'Week_1_Lecture_4_Random_variable_and_Expectation_I.mp3']","['Week_1_Lecture_6_Random_variable_and_Expectation_III.txt', 'Week_1_Lecture_2_Descriptive_Statistics-II.txt', 'Week_1_Lecture_1_Descriptive_Statistics-I.txt', 'Week_1_Lecture_5_Random_variable_and_Expectation_II.txt', 'Week_1_Lecture_4_Random_variable_and_Expectation_I.txt', 'Week_1_Lecture_3_Probability_and_Distribution.txt']",6,"[1296.2220408163266, 1711.6995918367347, 1521.0318367346938, 1545.6391836734695, 1178.2008163265307, 925.8318367346939]"
139,Dr._Liza_Das_and_Dr._Krishna_Barua,"['Mod-01_Lec-03_The_English_Language.mp3', 'Mod-01_Lec-04_International_English.mp3', 'Mod-01_Lec-02_The_Scope_of_English_Studies.mp3']","['Mod-01_Lec-04_International_English.txt', 'Mod-01_Lec-03_The_English_Language.txt', 'Mod-01_Lec-02_The_Scope_of_English_Studies.txt']",3,"[3143.549387755102, 3000.9208163265307, 3626.7102040816326]"
140,Prof._Vinayshil_Gautam,"['Mod-01_Lec-04_Concerns_of_organising_engineering_business_and_systems.mp3', 'Mod-01_Lec-03_Understanding_organizations_nature_and_functions_contd.mp3', 'Mod-01_Lec-02_Understanding_organizations_nature_and_functions.mp3']","['Mod-01_Lec-03_Understanding_organizations_nature_and_functions_contd.txt', 'Mod-01_Lec-02_Understanding_organizations_nature_and_functions.txt', 'Mod-01_Lec-04_Concerns_of_organising_engineering_business_and_systems.txt']",3,"[2763.6767346938777, 2568.646530612245, 2598.086530612245]"
141,Prof_Aysha_Iqbal,"['Comprehending_Literary_Passages-2.mp3', 'Comprehending_Literary_Passages-1.mp3', 'Literature_and_Reading_Comprehension.mp3', 'Scientific_Passages_and_Reading_Comprehension.mp3', 'Comprehending_Scientific_Passages.mp3']","['Comprehending_Scientific_Passages.txt', 'Scientific_Passages_and_Reading_Comprehension.txt', 'Comprehending_Literary_Passages-1.txt', 'Comprehending_Literary_Passages-2.txt', 'Literature_and_Reading_Comprehension.txt']",5,"[2126.8114285714287, 1501.831836734694, 1153.28, 2310.8963265306124, 1614.08]"
142,Dr._Neeraja_Dashaputre,"['Introduction_to_Molecular_Orbital_Theory_Part-1.mp3', 'Alkanes_and_Cycloalkanes_Part_1.mp3', 'Tutorial_01.mp3', 'Learning_Objectives_for_week_2.mp3']","['Introduction_to_Molecular_Orbital_Theory_Part-1.txt', 'Alkanes_and_Cycloalkanes_Part_1.txt', 'Tutorial_01.txt', 'Learning_Objectives_for_week_2.txt']",4,"[1793.6195918367348, 2326.831020408163, 2521.991836734694, 465.37142857142857]"
143,Prof._S.N._Merchant,"['L2-Definition_of_Information_Measure_and_Entropy.mp3', 'Mod-01_Lec-03_Extension_of_An_Information_Source_and_Markov_Source.mp3', 'Mod-01_Lec-04_Adjoint_of_An_Information_Source_Joint_and_Conditional_Information_Measures.mp3']","['Mod-01_Lec-04_Adjoint_of_An_Information_Source_Joint_and_Conditional_Information_Measures.txt', 'L2-Definition_of_Information_Measure_and_Entropy.txt', 'Mod-01_Lec-03_Extension_of_An_Information_Source_and_Markov_Source.txt']",3,"[3145.5608163265306, 3316.6367346938778, 3357.1526530612246]"
144,Prof._Soumitra_SataPathi,"['Energy_Band_Diagram.mp3', 'Introduction_of_Quantum_Mechanics_in_Solar_Photovoltaics-II.mp3', 'Introduction_of_Quantum_Mechanics_in_Solar_Photovoltaics-I.mp3', 'Charge_Carrier_Dynamics_in_Semiconductor.mp3']","['Charge_Carrier_Dynamics_in_Semiconductor.txt', 'Introduction_of_Quantum_Mechanics_in_Solar_Photovoltaics-I.txt', 'Introduction_of_Quantum_Mechanics_in_Solar_Photovoltaics-II.txt', 'Energy_Band_Diagram.txt']",4,"[2521.286530612245, 1585.4497959183673, 2184.3069387755104, 1718.7004081632654]"
145,Meenakshi_D_Souza,"['Terminologies.mp3', 'Basics_of_Graphs_As_used_in_testing.mp3', 'Testing_based_on_Models_and_Criteria.mp3', 'Automation_JUnit_as_an_example.mp3']","['Basics_of_Graphs_As_used_in_testing.txt', 'Automation_JUnit_as_an_example.txt', 'Terminologies.txt', 'Testing_based_on_Models_and_Criteria.txt']",4,"[1568.4179591836735, 2023.6016326530612, 1898.4489795918366, 1627.0367346938776]"
146,Prof._Sumana_Gupta,"['mod01lec02.mp3', 'mod01lec04.mp3', 'mod01lec03.mp3', 'mod01lec05.mp3', 'mod01lec01.mp3']","['mod01lec02.txt', 'mod01lec04.txt', 'mod01lec05.txt', 'mod01lec01.txt', 'mod01lec03.txt']",5,"[2638.471836734694, 1731.9967346938774, 1653.2897959183674, 1662.1191836734695, 1899.4677551020409]"
147,Prof._Sudha_Goel_and_Prof._Anjali_Pal,"['Lecture_40_Cell_Biology-III.mp3', 'Lecture_43_Microscopy-II.mp3', 'Lecture_39_Cell_Biology-II.mp3', 'Lecture_41_Cell_Biology-IV.mp3', 'Lecture_42_Microscopy-I.mp3']","['Lecture_42_Microscopy-I.txt', 'Lecture_39_Cell_Biology-II.txt', 'Lecture_43_Microscopy-II.txt', 'Lecture_41_Cell_Biology-IV.txt', 'Lecture_40_Cell_Biology-III.txt']",5,"[1907.4089795918367, 2361.991836734694, 2045.831836734694, 1224.829387755102, 2201.0514285714285]"
148,Prof._Prateek_Kumar_Jha,"['Lecture_03_Probability_and_probability_distributions.mp3', 'Lecture_01-Introduction_to_the_course.mp3', 'Lecture_04_Probability_distributions_and_thermodynamic_equilibrium.mp3', 'Lecture_02_Molecular_basis_of_energy_and_entropy.mp3']","['Lecture_02_Molecular_basis_of_energy_and_entropy.txt', 'Lecture_03_Probability_and_probability_distributions.txt', 'Lecture_01-Introduction_to_the_course.txt', 'Lecture_04_Probability_distributions_and_thermodynamic_equilibrium.txt']",4,"[1879.170612244898, 1310.1975510204081, 2045.8579591836735, 1768.1502040816326]"
149,Prof.Sudeshna_Sarkar_and_Prof.Anupam_Basu,"['Lecture-3_State_Space_Search.mp3', 'Lecture-2_Intelligent_Agents.mp3', 'Lecture-4_Uninformed_Search.mp3']","['Lecture-2_Intelligent_Agents.txt', 'Lecture-3_State_Space_Search.txt', 'Lecture-4_Uninformed_Search.txt']",3,"[3491.082448979592, 3322.0702040816327, 3547.6897959183675]"
150,G_S_Manohar,"['FEM_motivations_Analysis_of_axially_vibrating_rods_and_Euler-Bernoulli_beams.mp3', 'Equations_of_motion_for_continuous_systems.mp3', 'Rayleigh_Ritz_method_and_method_of_weighted_residuals.mp3']","['Equations_of_motion_for_continuous_systems.txt', 'Rayleigh_Ritz_method_and_method_of_weighted_residuals.txt', 'FEM_motivations_Analysis_of_axially_vibrating_rods_and_Euler-Bernoulli_beams.txt']",3,"[3228.656326530612, 3025.789387755102, 3324.551836734694]"
151,Dr._Shirish_K._Shevade,"['Mod-02_Lec-02_Mathematical_Background.mp3', 'Mod-03_Lec-04_One_Dimensional_Optimization-Optimality_Conditions.mp3', 'Mod-02_Lec-03_Mathematical_Background-contd-.mp3']","['Mod-02_Lec-03_Mathematical_Background-contd-.txt', 'Mod-02_Lec-02_Mathematical_Background.txt', 'Mod-03_Lec-04_One_Dimensional_Optimization-Optimality_Conditions.txt']",3,"[3295.059591836735, 3311.5689795918365, 3481.469387755102]"
152,Prof_Rangu_Nadan_Sengupta,"['noc19-mg15_Lec_05-Utility_Analysis.mp3', 'noc19-mg15_Lec_03-Utility_Analysis.mp3', 'noc19-mg15_Lec_02-Utility_Analysis.mp3', 'noc19-mg15_Lec_04-Utility_Analysis.mp3', 'noc19-mg15_Lec_01-Utility_Analysis.mp3']","['noc19-mg15_Lec_04-Utility_Analysis.txt', 'noc19-mg15_Lec_02-Utility_Analysis.txt', 'noc19-mg15_Lec_01-Utility_Analysis.txt', 'noc19-mg15_Lec_05-Utility_Analysis.txt', 'noc19-mg15_Lec_03-Utility_Analysis.txt']",5,"[1760.130612244898, 1769.221224489796, 1764.5714285714287, 1720.2416326530613, 1680.5616326530612]"
153,Prof._Jhumkee_Iyengar,"['People_Centered_Design_Methodology.mp3', 'Examine_and_Reflect_on_the_Problem.mp3', 'Reconsider_and_arrive_at_the_rightproblem_to_solve.mp3', 'The_Need_to_be_People_Centered.mp3', 'Introduction_to_Design_Thinking.mp3']","['Introduction_to_Design_Thinking.txt', 'Reconsider_and_arrive_at_the_rightproblem_to_solve.txt', 'Examine_and_Reflect_on_the_Problem.txt', 'People_Centered_Design_Methodology.txt', 'The_Need_to_be_People_Centered.txt']",5,"[1870.0016326530613, 1193.978775510204, 1462.7004081632654, 1053.1004081632652, 2062.210612244898]"
154,Dr._Ranjit_Bauri,"['Powder_Fabrication_Methods_Mechanical_and_Electrolytic_Fabrication.mp3', 'Powder_Fabrication_Methods_Mechanical_Fabrication.mp3', 'Powder_Fabrication_Methods_Chemical_Fabrication.mp3', 'Introduction_to_Powder_Metallurgy.mp3']","['Introduction_to_Powder_Metallurgy.txt', 'Powder_Fabrication_Methods_Mechanical_and_Electrolytic_Fabrication.txt', 'Powder_Fabrication_Methods_Chemical_Fabrication.txt', 'Powder_Fabrication_Methods_Mechanical_Fabrication.txt']",4,"[1936.1175510204082, 1597.9624489795917, 1624.7379591836734, 1965.4791836734694]"
155,Prof._Anjali_Gera_Roy,"['Lecture_4_The_Power_of_words.mp3', 'Lecture_3_Encoding_Meaning_Using_Verbal_Symbols.mp3', 'Lecture_1_Introduction,_The_Art_of_Speakihg.mp3', 'Lecture_2_Encoding_Meaning_Using_Verbal_and_Nonverbal_Symbols.mp3']","['Lecture_1_Introduction,_The_Art_of_Speakihg.txt', 'Lecture_3_Encoding_Meaning_Using_Verbal_Symbols.txt', 'Lecture_2_Encoding_Meaning_Using_Verbal_and_Nonverbal_Symbols.txt', 'Lecture_4_The_Power_of_words.txt']",4,"[1802.6579591836735, 2569.0383673469387, 2355.7485714285713, 2094.7591836734696]"
156,Prof._G.D._Ray,"['Mod-01_Lec-03_Optimality_Conditions_for_function_of_several_variables.mp3', 'Mod-01_Lec-04_Optimality_Conditions_for_function_of_several_variables-Contd-.mp3', 'Mod-01_Lec-02_Introduction_to_Optimization-Contd-.mp3']","['Mod-01_Lec-03_Optimality_Conditions_for_function_of_several_variables.txt', 'Mod-01_Lec-02_Introduction_to_Optimization-Contd-.txt', 'Mod-01_Lec-04_Optimality_Conditions_for_function_of_several_variables-Contd-.txt']",3,"[3375.751836734694, 3379.6702040816326, 3406.288979591837]"
157,Prof._Indu_Siva_Ranjani_Gandhi,"['Lec_2_Estimation_of_Ownership_cost-Average_Annual_Investment_method-.mp3', 'Lec_1_Planning_process_of_equipment.mp3']","['Lec_2_Estimation_of_Ownership_cost-Average_Annual_Investment_method-.txt', 'Lec_1_Planning_process_of_equipment.txt']",2,"[3940.6497959183675, 4602.618775510204]"
158,Prof._Anjali_Pal,"['Lecture_02_Acids,Bases_and_Salts_part-II.mp3', 'Lecture_03_Acids,Bases_and_Salts_part-III.mp3', 'Lecture_04_Acids,Bases_and_Salts_part-IV.mp3', 'Lecture_05_Acids,Bases_and_Salts_part-V.mp3', 'Lecture_01_Acids,Bases_and_Salts_part-I.mp3']","['Lecture_02_Acids,Bases_and_Salts_part-II.txt', 'Lecture_03_Acids,Bases_and_Salts_part-III.txt', 'Lecture_04_Acids,Bases_and_Salts_part-IV.txt', 'Lecture_05_Acids,Bases_and_Salts_part-V.txt', 'Lecture_01_Acids,Bases_and_Salts_part-I.txt']",5,"[1615.7518367346938, 1466.88, 1382.4, 1275.0106122448979, 1364.349387755102]"
159,Prof._A.R._Mohanty,"['Mod-01_Lec-04_Fault_Diagnostics_and_Prognostics.mp3', 'Mod-01_Lec-03_Failure_Modes_Effects_and_Criticality_Analysis.mp3', 'Mod-01_Lec-02_Maintenance_Principles.mp3']","['Mod-01_Lec-04_Fault_Diagnostics_and_Prognostics.txt', 'Mod-01_Lec-03_Failure_Modes_Effects_and_Criticality_Analysis.txt', 'Mod-01_Lec-02_Maintenance_Principles.txt']",3,"[3158.4391836734694, 2682.122448979592, 3078.217142857143]"
160,Dr._Ankur_Awadhlya,"['noc19-bt09_Lecture_03-Ecology_and_Evolution.mp3', 'noc19-bt09_Lecture_01-Introduction_to_the_Course.mp3', 'noc19-bt09_Lecture_02-A_historical_overview_of_Ecology.mp3']","['noc19-bt09_Lecture_03-Ecology_and_Evolution.txt', 'noc19-bt09_Lecture_01-Introduction_to_the_Course.txt', 'noc19-bt09_Lecture_02-A_historical_overview_of_Ecology.txt']",3,"[2860.3297959183674, 2777.9395918367345, 3202.821224489796]"
161,Dr.Nandita_Dasgupta,"['Lecture-4_Crystal_Structure_of_Si.mp3', 'Lecture-2_Bipolar_Junction_Transistor_Fabrication.mp3', 'Lecture-3_MOSFET_Fabrication_for_IC.mp3']","['Lecture-2_Bipolar_Junction_Transistor_Fabrication.txt', 'Lecture-4_Crystal_Structure_of_Si.txt', 'Lecture-3_MOSFET_Fabrication_for_IC.txt']",3,"[2996.427755102041, 2877.2571428571428, 2962.4163265306124]"
162,Dr._Padma_S_Vankar,"['Mod-01_Lec-03_Lecture-03_Natural_Dyes.mp3', 'Mod-01_Lec-02_Lecture-02_Natural_Dyes.mp3', 'Mod-01_Lec-05_Lecture-05_Natural_Dyes.mp3', 'Mod-01_Lec-04_Lecture-04_Natural_Dyes.mp3']","['Mod-01_Lec-05_Lecture-05_Natural_Dyes.txt', 'Mod-01_Lec-02_Lecture-02_Natural_Dyes.txt', 'Mod-01_Lec-04_Lecture-04_Natural_Dyes.txt', 'Mod-01_Lec-03_Lecture-03_Natural_Dyes.txt']",4,"[2184.3591836734695, 2374.008163265306, 2283.5461224489795, 2281.4563265306124]"
163,Prof_V._Babu,"['Hydro_Turbomachines-Centrifugal_pumps-Part-01.mp3', 'Hydro_Turbomachines-Centrifugal_pumps-Part-03.mp3', 'Basic_Theroy_of_Turbomachines-Part-01.mp3', 'Basic_Theroy_of_Turbomachines-Part0-06.mp3', 'Basic_Theroy_of_Turbomachines-Part-03.mp3', 'Basic_Theroy_of_Turbomachines-Part-04.mp3', 'Basic_Theroy_of_Turbomachines-Part-05.mp3', 'Basic_Theroy_of_Turbomachines-Part-02.mp3', 'Hydro_Turbomachines-Centrifugal_pumps-Part-02.mp3']","['Basic_Theroy_of_Turbomachines-Part0-06.txt', 'Hydro_Turbomachines-Centrifugal_pumps-Part-01.txt', 'Hydro_Turbomachines-Centrifugal_pumps-Part-02.txt', 'Basic_Theroy_of_Turbomachines-Part-01.txt', 'Basic_Theroy_of_Turbomachines-Part-02.txt', 'Basic_Theroy_of_Turbomachines-Part-04.txt', 'Hydro_Turbomachines-Centrifugal_pumps-Part-03.txt', 'Basic_Theroy_of_Turbomachines-Part-05.txt', 'Basic_Theroy_of_Turbomachines-Part-03.txt']",9,"[1052.9697959183673, 1227.9902040816326, 780.7216326530612, 372.19265306122446, 892.7608163265306, 563.8269387755103, 669.9363265306123, 953.0775510204081, 923.7420408163265]"
164,Prof._Mamata_Jenamani,"['Lecture_9_Decision_support_for_the_management.mp3', 'Lecture_6_Inter_and_Intra_Organizational_Business_Processes.mp3', 'Lecture_7_Information_system_foundations.mp3', 'Lecture_8_Types_of_business_information_system.mp3']","['Lecture_8_Types_of_business_information_system.txt', 'Lecture_6_Inter_and_Intra_Organizational_Business_Processes.txt', 'Lecture_9_Decision_support_for_the_management.txt', 'Lecture_7_Information_system_foundations.txt']",4,"[2647.7714285714287, 1800.3591836734695, 1693.9102040816326, 2006.4914285714285]"
165,Prof._G._B._Kumbhar,"['Components_of_Distribution_System_Substation_and_Busbar_Layouts.mp3', 'Introduction_to_Electrical_Distribution_System.mp3', 'Nature_of_Loads_in_a_Distribution_System.mp3', 'Components_of_Distribution_System_and_Feeder_Configurations.mp3']","['Introduction_to_Electrical_Distribution_System.txt', 'Nature_of_Loads_in_a_Distribution_System.txt', 'Components_of_Distribution_System_Substation_and_Busbar_Layouts.txt', 'Components_of_Distribution_System_and_Feeder_Configurations.txt']",4,"[1891.1608163265307, 1664.4702040816326, 2075.9510204081635, 1600.8620408163265]"
166,Dr._Vishal_Trivedi,"['Lec_2_Good_Lab_Practices-Part_2-.mp3', 'Lec_1_Good_Lab_Practices-Part_1-.mp3', 'Lec_4_Operation_of_Laboratory_Instruments-Part_2-.mp3', 'Lec_3_Operation_of_Laboratory_Instruments-Part_1-.mp3']","['Lec_1_Good_Lab_Practices-Part_1-.txt', 'Lec_3_Operation_of_Laboratory_Instruments-Part_1-.txt', 'Lec_2_Good_Lab_Practices-Part_2-.txt', 'Lec_4_Operation_of_Laboratory_Instruments-Part_2-.txt']",4,"[1496.9991836734694, 1576.071836734694, 1883.8987755102041, 3124.1404081632654]"
167,Prof._C_Bhaktavatsala_Rao,"['Entrepreneurial_Discovery_Part_2.mp3', 'Entrepreneurial_Discovery_Part_1.mp3', 'Entrepreneurial_Journey_Part_2.mp3', 'Entrepreneurial_Journey_Part_1.mp3', 'Entrepreneurial_Journey_Part_3.mp3']","['Entrepreneurial_Discovery_Part_2.txt', 'Entrepreneurial_Journey_Part_2.txt', 'Entrepreneurial_Journey_Part_3.txt', 'Entrepreneurial_Discovery_Part_1.txt', 'Entrepreneurial_Journey_Part_1.txt']",5,"[1701.2767346938776, 1710.3412244897959, 1718.3085714285714, 1902.1061224489797, 2392.581224489796]"
168,Prof._S._K._Dwivedy,"['Lec_3_Equilibrium_points_potential_function.mp3', 'Lec_1_Introduction_to_mechanical_systems.mp3', 'Lec_2_Superposition_rule_Commonly_used_nonlinear_equations.mp3']","['Lec_1_Introduction_to_mechanical_systems.txt', 'Lec_2_Superposition_rule_Commonly_used_nonlinear_equations.txt', 'Lec_3_Equilibrium_points_potential_function.txt']",3,"[4098.951836734694, 2642.2595918367347, 3240.280816326531]"
169,Prof._Digbijoy_N.Nath,"['Band_structure-contd-and_Fermi-Dirac_distribution.mp3', 'Fundamentals_of_band_structure.mp3', 'Introduction_to_semiconductors.mp3', 'Introduction_to_energy_bands.mp3']","['Band_structure-contd-and_Fermi-Dirac_distribution.txt', 'Introduction_to_energy_bands.txt', 'Introduction_to_semiconductors.txt', 'Fundamentals_of_band_structure.txt']",4,"[2425.6783673469386, 2012.029387755102, 1855.3208163265306, 1785.2604081632653]"
170,Dr._Merin_Simi_Raj,[],"['lec01_Introduction_Types_and_Classification_of_Robots.txt', 'lec02_Main_Elements_of_a_Robot.txt']",0,NULL
171,Prof._Ashitava_Ghosal,"['lec02_Main_Elements_of_a_Robot.mp3', 'lec01_Introduction_Types_and_Classification_of_Robots.mp3']","['mod01lec02.txt', 'mod01lec04.txt', 'mod01lec05.txt', 'mod01lec01.txt', 'mod01lec03.txt']",2,"[5370.88, 3371.049795918367]"
172,Prof._Arnab_Atta,"['mod01lec02.mp3', 'mod01lec04.mp3', 'mod01lec03.mp3', 'mod01lec05.mp3', 'mod01lec01.mp3']","['Mod-02_Lec-03_Strategic_Games_Examples.txt', 'Mod-01_Lec-02_Interacting_Decision_Makers.txt']",5,"[1704.5420408163266, 1371.7420408163266, 1743.3077551020408, 1818.4620408163266, 1586.9910204081632]"
173,Dr._Debarshi_Das,"['Mod-01_Lec-02_Interacting_Decision_Makers.mp3', 'Mod-02_Lec-03_Strategic_Games_Examples.mp3']","['Mod-01_Lec-02_Linear_vector_space_and_matrices.txt', 'Mod-01_Lec-03_Determinants_trace_and_special_matrices.txt', 'Mod-01_Lec-04_Linear_first_order_differential_equations.txt']",2,"[3793.9983673469387, 3747.4220408163264]"
174,Prof._K._Mangala_Sunder,"['Mod-01_Lec-02_Linear_vector_space_and_matrices.mp3', 'Mod-01_Lec-04_Linear_first_order_differential_equations.mp3', 'Mod-01_Lec-03_Determinants_trace_and_special_matrices.mp3']","['Lecture_4_Factor_group_Homomorphism_Isomorphism.txt', 'Lecture_1_Introduction_I.txt', 'Lecture_3_Normal_subgroup_Coset_Conjugate_group.txt', 'Lecture_2_Introduction_II.txt']",3,"[3469.6881632653062, 3311.856326530612, 3577.8873469387754]"
175,Prof._Ramadevi,"['Lecture_3_Normal_subgroup_Coset_Conjugate_group.mp3', 'Lecture_1_Introduction_I.mp3', 'Lecture_4_Factor_group_Homomorphism_Isomorphism.mp3', 'Lecture_2_Introduction_II.mp3']","['Transformer_equivalent_circuit_parameter_determination.txt', 'Transformers-Amp-Turn_Balance_Ideal_and_practical_transformers.txt', 'Transformer_Equivalent_circuit_and_Reducing_leakage.txt']",4,"[1326.8897959183673, 3086.210612244898, 1946.4097959183673, 1198.210612244898]"
