,Professor,Audio File Name,Transcripts File Name,file size ,Audio_file_length
85,Prof._Shikha_Laloraya,"['Lec_02_Introduction_to_Cell_Biology_Cell_components_organization_and_processes-Part_II.mp3', 'Lec_04_DNA_The_genetic_material_Part_II.mp3', 'Lec_03_DNA_The_genetic_material_Part_I.mp3', 'Lec_01_Introduction_to_Cell_Biology_Cell_components_organization_and_processes-Part_I.mp3']","['Lec_01_Introduction_to_Cell_Biology_Cell_components_organization_and_processes-Part_I.txt', 'Lec_03_DNA_The_genetic_material_Part_I.txt', 'Lec_02_Introduction_to_Cell_Biology_Cell_components_organization_and_processes-Part_II.txt', 'Lec_04_DNA_The_genetic_material_Part_II.txt']",4,"[1669.8514285714286, 2251.4416326530613, 1557.76, 1977.8612244897959]"
86,Dr.Rinku_Mukherjee,"['Mod-01_Lec-04_Lecture-04-The_Mach_Number_and_Compressible_Flow.mp3', 'Mod-01_Lec-02_Lecture-02-Review_of_Basic_Thermodynamics_Continued.mp3', 'Mod-01_Lec-03_An_introduction_to_Normal_Shocks.mp3']","['Mod-01_Lec-02_Lecture-02-Review_of_Basic_Thermodynamics_Continued.txt', 'Mod-01_Lec-03_An_introduction_to_Normal_Shocks.txt', 'Mod-01_Lec-04_Lecture-04-The_Mach_Number_and_Compressible_Flow.txt']",3,"[2918.791836734694, 2870.2824489795917, 2848.0]"
87,Prof._Anuradha_Choudry,"['Lecture_05_Basic_Verbs_and_Some_Conjugations.mp3', 'Lecture_01_Introduction.mp3', 'Lecture_03_Sentence_Construction_and_its_underlying_logic.mp3', 'Lecture_02_The_Sounds_of_Sanskrit_Its_Alphabet.mp3']","['Lecture_02_The_Sounds_of_Sanskrit_Its_Alphabet.txt', 'Lecture_05_Basic_Verbs_and_Some_Conjugations.txt', 'Lecture_03_Sentence_Construction_and_its_underlying_logic.txt', 'Lecture_01_Introduction.txt']",4,"[1907.5395918367346, 1798.8702040816327, 2209.0187755102043, 2598.0604081632655]"
88,Prof._V._M._Gadre,"['Lecture_2B_Sampling_of_sine_wave_and_associate_complication.mp3', 'Lecture_2A_Introduction_to_sampling_and_Fourier_Transform.mp3', 'Lecture_3A_Review_of_Sampling_Theorem.mp3', 'Lecture_3B_Idealized_Sampling_Reconstruction.mp3', 'Lecture_1_Introduction_Digital_signal_processing_and_its_objectives.mp3', 'Lecture_3C_Filters_And_Discrete_System.mp3']","['Lecture_2B_Sampling_of_sine_wave_and_associate_complication.txt', 'Lecture_1_Introduction_Digital_signal_processing_and_its_objectives.txt', 'Lecture_3C_Filters_And_Discrete_System.txt', 'Lecture_3B_Idealized_Sampling_Reconstruction.txt', 'Lecture_2A_Introduction_to_sampling_and_Fourier_Transform.txt', 'Lecture_3A_Review_of_Sampling_Theorem.txt']",6,"[1772.8261224489795, 1240.1110204081633, 781.0089795918367, 1360.2481632653062, 1245.126530612245, 1102.2889795918368]"
89,Prof._A.K._Chattopadhyay,"['Mod-01_Lec-03_Adhesion_of_Surface_Coating.mp3', 'Mod-01_Lec-04_CVD_System.mp3', 'Mod-01_Lec-02_CVD_Reaction.mp3']","['Mod-01_Lec-02_CVD_Reaction.txt', 'Mod-01_Lec-03_Adhesion_of_Surface_Coating.txt', 'Mod-01_Lec-04_CVD_System.txt']",3,"[3368.437551020408, 3545.1297959183676, 3541.7077551020407]"
90,Dr._A.V._Ravishankar_Sarma,"['Mod-01_Lec-02_Non-arguments.mp3', 'Mod-01_Lec-04_Nature_and_Scope_of_Deductive_and_Inductive_Arguments.mp3', 'Mod-01_Lec-03_Types_of_Arguments_Deductive_vs_Inductive.mp3']","['Mod-01_Lec-02_Non-arguments.txt', 'Mod-01_Lec-04_Nature_and_Scope_of_Deductive_and_Inductive_Arguments.txt', 'Mod-01_Lec-03_Types_of_Arguments_Deductive_vs_Inductive.txt']",3,"[2948.5191836734693, 2623.1902040816326, 2944.208979591837]"
91,Prof._J._N._Mandal,"['Mod-01_Lec-03_Introduction_to_Reinforced_Earth.mp3', 'Mod-01_Lec-02_Introduction_to_Reinforced_Earth.mp3', 'Mod-01_Lec-04_Introduction_to_Reinforced_Earth.mp3']","['Mod-01_Lec-03_Introduction_to_Reinforced_Earth.txt', 'Mod-01_Lec-02_Introduction_to_Reinforced_Earth.txt', 'Mod-01_Lec-04_Introduction_to_Reinforced_Earth.txt']",3,"[3534.70693877551, 3166.8767346938776, 3107.2391836734696]"
92,Prof._Samudra_Roy,"['mod01lec02.mp3', 'mod01lec04.mp3', 'mod01lec03.mp3', 'mod01lec01.mp3']","['mod01lec02.txt', 'mod01lec04.txt', 'mod01lec01.txt', 'mod01lec03.txt']",4,"[1806.7069387755103, 1664.2089795918366, 1754.2008163265307, 1779.461224489796]"
93,Prof_Rashmi_Gaur,"['Defining_Proxemics_Four_Zones.mp3', 'Oculesics_I.mp3', 'Proxemics_Behavioral_Connotations.mp3', 'Defining_Body_Language_Scope_and_Relevance.mp3']","['Oculesics_I.txt', 'Defining_Proxemics_Four_Zones.txt', 'Defining_Body_Language_Scope_and_Relevance.txt', 'Proxemics_Behavioral_Connotations.txt']",4,"[1966.2889795918368, 1724.290612244898, 2580.271020408163, 2158.4979591836736]"
94,Prof._Mohammad_Saud_Afzal,"['mod01lec02.mp3', 'mod01lec04.mp3', 'mod01lec03.mp3', 'mod01lec05.mp3']","['mod01lec02.txt', 'mod01lec04.txt', 'mod01lec05.txt', 'mod01lec03.txt']",4,"[1987.84, 2194.128979591837, 2054.0604081632655, 1974.5697959183674]"
